created_time,favorite_count,retweet_count,china,billion,products,democrats,great,dollars,tariffs,country,mueller,border,president,congressman,people,korea,party,years,farmers,going,trade,never
Wed Nov 13 16:35:55 +0000 2019,0,6553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Wed Nov 13 16:35:41 +0000 2019,0,10511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:35:27 +0000 2019,0,7870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:08:54 +0000 2019,0,12089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 13:30:55 +0000 2019,113173,23621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 13:30:31 +0000 2019,65789,12802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wed Nov 13 13:18:10 +0000 2019,39486,10120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 13:18:08 +0000 2019,40493,10340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 13:18:05 +0000 2019,59700,15818,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wed Nov 13 12:11:42 +0000 2019,52932,12910,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wed Nov 13 12:03:03 +0000 2019,82259,20857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 03:40:50 +0000 2019,0,13857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 03:33:45 +0000 2019,53422,13502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wed Nov 13 03:33:45 +0000 2019,54221,13676,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Wed Nov 13 03:33:44 +0000 2019,91504,24726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wed Nov 13 01:34:03 +0000 2019,84849,18477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 00:43:06 +0000 2019,64466,17450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 00:38:17 +0000 2019,0,10917,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 00:38:05 +0000 2019,0,9585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
